DAUID,  Apartment in a building that has fewer than five storeys,  Apartment in a building that has five or more storeys,  Apartment or flat in a duplex,  Movable dwelling,  Other single-attached house,  Row house,  Semi-detached house,  Single-detached house,Total - Occupied private dwellings by structural type of dwelling - 100% data
24660001,37.3,0.0,5.9,0.0,0.0,25.5,2.0,31.4,100.0
24660002,17.9,0.0,2.6,0.0,0.0,2.6,5.1,71.8,100.0
24660003,34.6,0.0,23.1,0.0,0.0,15.4,0.0,26.9,100.0
24660004,0.0,0.0,0.0,0.0,0.0,17.4,13.0,69.6,100.0
24660005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7,100.0
24660006,56.4,0.0,7.7,0.0,0.0,2.6,7.7,28.2,100.0
24660007,53.4,0.0,5.2,0.0,0.0,0.0,0.0,41.4,100.0
24660008,19.0,0.0,0.0,0.0,0.0,35.7,16.7,26.2,100.0
24660009,25.0,0.0,0.0,0.0,0.0,0.0,5.0,70.0,100.0
24660010,43.7,19.7,11.3,0.0,0.0,0.0,8.5,16.9,100.0
24660011,64.2,11.6,3.2,0.0,0.0,11.6,5.3,5.3,100.0
24660012,70.2,0.0,4.8,0.0,0.0,10.6,11.5,3.8,100.0
24660013,31.7,0.0,12.2,0.0,0.0,0.0,17.1,34.1,100.0
24660014,15.4,0.0,7.7,0.0,0.0,0.0,5.1,69.2,100.0
24660015,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
24660016,44.4,0.0,0.0,0.0,0.0,36.5,6.3,12.7,100.0
24660017,65.5,0.0,9.1,0.0,0.0,0.0,1.8,27.3,100.0
24660020,2.8,0.0,0.0,0.0,0.0,0.0,16.7,80.6,100.0
24660021,88.4,0.0,0.0,0.0,0.0,2.3,4.7,7.0,100.0
24660022,14.8,0.0,0.0,0.0,0.0,0.0,14.8,66.7,100.0
24660023,71.2,0.0,5.8,0.0,0.0,0.0,11.5,9.6,100.0
24660024,18.8,0.0,14.6,0.0,0.0,54.2,0.0,12.5,100.0
24660025,48.9,0.0,17.8,0.0,0.0,4.4,2.2,26.7,100.0
24660026,82.6,0.0,0.0,0.0,0.0,0.0,0.0,8.7,100.0
24660027,43.1,0.0,5.9,0.0,0.0,19.6,7.8,23.5,100.0
