DAUID,    Median total income in 2020 among recipients ($),  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,    Median employment income in 2020 among recipients ($),    Average total income in 2020 among recipients ($),    Average after-tax income in 2020 among recipients ($),Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,"    Under $10,000 (including loss)","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 to $89,999","    $90,000 to $99,999","    $100,000 and over","      $100,000 to $149,999","      $150,000 and over",  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,    Average government transfers in 2019 among recipients ($)
24660054,41200.0,73.4,39600.0,43600.0,37600.0,100.0,6.6,9.2,17.1,17.1,13.2,11.8,7.9,6.6,2.6,2.6,6.6,3.9,1.3,75.0,10100.0
24660055,38000.0,72.0,32000.0,40600.0,35000.0,100.0,6.2,12.4,15.5,18.6,16.5,12.4,6.2,5.2,2.1,1.0,2.1,2.1,0.0,82.6,6520.0
24660056,41600.0,80.6,34800.0,51800.0,43800.0,100.0,5.3,8.4,14.7,17.9,18.9,10.5,9.5,6.3,3.2,2.1,5.3,4.2,1.1,71.6,8200.0
24660057,39600.0,70.4,36400.0,47300.0,38900.0,100.0,6.8,12.2,17.7,14.3,13.6,9.5,8.2,6.8,4.1,2.7,4.1,4.1,0.7,81.3,9560.0
24660058,30600.0,54.8,29800.0,39800.0,34000.0,100.0,6.5,17.7,27.4,12.9,9.7,8.1,6.5,4.8,4.8,0.0,3.2,3.2,0.0,87.9,10500.0
24660060,44800.0,68.8,38800.0,47000.0,38200.0,100.0,5.3,10.6,13.8,14.9,11.7,11.7,9.6,4.3,5.3,3.2,9.6,6.4,4.3,77.3,10440.0
24662905,38800.0,75.6,31600.0,42300.0,36500.0,100.0,7.4,9.1,19.0,16.5,17.4,11.6,8.3,3.3,4.1,0.8,1.7,2.5,0.0,78.5,8280.0
24660001,48000.0,68.8,43200.0,52600.0,43200.0,100.0,6.4,7.4,11.7,10.6,16.0,12.8,9.6,4.3,6.4,4.3,9.6,7.4,2.1,74.7,7720.0
24660002,48000.0,72.4,44000.0,55600.0,45400.0,100.0,6.0,10.8,12.0,10.8,15.7,13.3,7.2,4.8,4.8,2.4,10.8,8.4,1.2,66.7,9300.0
24660003,41600.0,71.7,40400.0,46800.0,39600.0,100.0,5.9,11.8,17.6,13.7,15.7,13.7,7.8,3.9,2.0,2.0,3.9,3.9,0.0,74.5,8400.0
