DAUID,    15 to 19 years,    20 to 24 years,    25 to 29 years,    30 to 34 years,    35 to 39 years,    40 to 44 years,    45 to 49 years,    50 to 54 years,    55 to 59 years,    60 to 64 years,  0 to 14 years,  65 years and over,Average age of the population,Median age of the population,Total - Age groups of the population - 100% data
24660001,4.6,3.8,2.3,4.6,5.4,6.9,5.4,6.2,12.3,10.0,13.8,25.4,47.4,53.6,100.0
24660002,7.4,3.7,4.6,5.6,5.6,4.6,8.3,5.6,9.3,11.1,16.7,16.7,42.4,45.2,100.0
24660003,4.9,6.6,6.6,4.9,6.6,6.6,4.9,8.2,9.8,6.6,13.1,19.7,44.0,46.0,100.0
24660004,3.7,3.7,3.7,5.6,3.7,5.6,5.6,5.6,11.1,16.7,11.1,25.9,49.2,56.8,100.0
24660005,6.4,6.4,0.0,2.1,6.4,8.5,8.5,8.5,14.9,12.8,14.9,14.9,45.2,50.4,100.0
24660006,3.6,7.1,7.1,4.8,6.0,8.3,6.0,8.3,8.3,9.5,16.7,15.5,41.1,42.4,100.0
24660007,3.6,3.6,5.1,7.3,7.3,7.3,6.6,6.6,5.8,6.6,21.9,16.8,39.9,40.8,100.0
24660008,4.1,5.1,6.1,5.1,4.1,5.1,6.1,5.1,9.2,12.2,12.2,26.5,46.9,52.4,100.0
24660009,2.1,4.3,4.3,6.4,4.3,6.4,6.4,2.1,10.6,14.9,12.8,21.3,46.8,53.6,100.0
24660010,2.8,4.2,4.9,5.6,5.6,5.6,7.0,7.0,9.9,9.9,11.3,26.1,48.1,52.0,100.0
24660011,3.5,4.7,7.6,5.3,4.1,5.3,5.3,5.3,6.5,8.8,12.9,30.0,48.4,51.2,100.0
24660012,4.7,6.6,9.9,8.0,7.5,7.5,8.5,8.0,7.5,6.1,15.0,10.8,38.8,38.8,100.0
24660013,5.7,6.6,4.7,5.7,5.7,7.5,8.5,6.6,7.5,7.5,17.0,17.9,42.2,44.0,100.0
24660014,7.6,5.7,5.7,3.8,5.7,7.6,7.6,7.6,7.6,5.7,17.1,18.1,41.7,43.6,100.0
24660015,5.2,7.2,9.3,10.3,8.2,5.2,6.2,7.2,8.2,7.2,15.5,10.3,38.4,37.2,100.0
24660016,3.6,4.3,4.3,5.8,7.2,8.0,8.0,7.2,12.3,9.4,15.2,14.5,42.8,45.6,100.0
24660017,3.9,5.8,5.8,5.8,5.8,6.8,7.8,9.7,9.7,9.7,13.6,13.6,43.2,46.0,100.0
24660020,3.3,3.3,4.4,2.2,5.5,6.6,5.5,6.6,5.5,14.3,14.3,28.6,47.9,53.6,100.0
24660021,11.0,7.6,3.4,5.9,5.1,5.9,6.8,4.2,5.1,6.8,27.1,10.2,34.4,31.4,100.0
24660022,7.2,5.8,4.3,5.8,2.9,5.8,8.7,5.8,7.2,8.7,13.0,27.5,46.7,48.0,100.0
24660023,4.6,5.6,10.2,8.3,6.5,4.6,6.5,7.4,7.4,8.3,17.6,13.0,38.8,37.6,100.0
24660024,4.8,4.8,6.4,8.8,7.2,4.0,6.4,7.2,8.0,8.0,16.8,17.6,41.6,41.2,100.0
24660025,6.8,6.8,8.5,6.8,7.6,8.5,5.9,3.4,8.5,9.3,17.8,12.7,38.5,38.4,100.0
24660026,2.0,2.0,2.0,0.7,0.7,2.0,3.3,8.0,16.7,23.3,4.7,35.3,62.0,60.8,100.0
24660027,5.1,6.8,5.1,5.1,5.1,5.9,7.6,7.6,8.5,8.5,16.1,19.5,43.3,46.0,100.0
24660028,6.9,2.8,4.2,6.9,5.6,6.9,8.3,5.6,6.9,4.2,20.8,20.8,40.9,42.0,100.0
24660029,8.8,7.5,6.3,6.3,5.0,7.5,6.3,7.5,7.5,7.5,16.3,15.0,39.3,40.4,100.0
24660030,7.7,6.7,4.3,3.8,5.7,6.7,6.2,7.2,8.1,10.0,16.7,15.8,41.1,42.4,100.0
24660031,4.8,5.8,2.9,6.7,7.7,11.5,5.8,3.8,6.7,6.7,23.1,13.5,38.0,39.6,100.0
24660032,4.1,5.1,5.1,4.1,5.1,8.2,7.1,7.1,8.2,10.2,18.4,18.4,42.8,45.2,100.0
24660033,5.5,6.1,3.3,3.9,5.5,6.1,6.1,7.2,9.4,12.2,12.2,23.2,46.6,51.2,100.0
24660034,4.2,4.2,4.2,5.6,5.6,5.6,4.2,2.8,8.5,19.7,15.5,18.3,44.6,49.2,100.0
24660035,6.8,4.5,4.5,3.4,4.5,6.8,6.8,3.4,13.6,13.6,15.9,17.0,44.2,48.0,100.0
24660036,1.9,3.8,7.0,7.0,5.7,5.1,5.1,5.1,9.6,9.6,7.0,31.8,51.0,55.2,100.0
24660037,5.6,4.8,7.1,4.8,7.1,4.0,5.6,7.1,6.3,7.9,20.6,17.5,40.6,40.8,100.0
24660038,7.0,4.4,4.4,4.4,9.6,8.8,6.1,6.1,8.8,7.0,21.1,13.2,38.9,39.6,100.0
24660039,5.1,6.1,7.1,8.1,8.1,6.1,7.1,5.1,8.1,10.1,17.2,12.1,38.9,37.6,100.0
24660040,4.2,5.2,4.2,6.3,7.3,6.3,7.3,6.3,9.4,9.4,15.6,19.8,44.4,46.8,100.0
24660041,2.5,3.3,9.9,10.7,5.8,6.6,6.6,4.1,7.4,9.9,19.0,15.7,40.4,39.6,100.0
24660042,6.1,6.1,6.1,6.1,6.1,7.0,7.0,7.0,8.7,8.7,13.0,17.4,42.7,44.0,100.0
24660043,3.5,3.5,5.8,7.0,5.8,9.3,7.0,8.1,8.1,5.8,16.3,16.3,41.7,42.4,100.0
24660044,2.7,2.7,2.7,2.7,5.3,4.0,4.0,4.0,5.3,10.7,9.3,45.3,58.3,62.4,100.0
24660045,2.2,4.3,4.3,5.4,6.5,6.5,4.3,7.6,10.9,15.2,12.0,21.7,48.3,53.6,100.0
24660046,2.4,3.5,5.9,8.2,5.9,4.7,9.4,5.9,9.4,8.2,12.9,23.5,46.0,49.2,100.0
24660047,3.8,1.3,3.8,5.1,3.8,6.4,5.1,3.8,6.4,10.3,16.7,32.1,48.6,53.2,100.0
24660048,4.3,4.3,7.4,10.6,5.3,7.4,5.3,6.4,9.6,8.5,13.8,16.0,42.2,42.0,100.0
24660049,5.8,5.8,4.9,4.9,6.8,5.8,4.9,4.9,7.8,7.8,17.5,22.3,42.6,43.2,100.0
24660050,4.3,6.0,8.5,10.3,6.0,6.8,6.8,4.3,6.8,8.5,18.8,13.7,38.5,36.0,100.0
24660051,3.8,6.4,9.0,6.4,9.0,5.1,6.4,5.1,10.3,7.7,15.4,17.9,41.9,41.6,100.0
24660052,4.7,4.7,6.6,7.5,6.6,7.5,6.6,5.7,5.7,8.5,17.9,17.9,41.1,41.2,100.0
24660053,5.6,4.5,5.6,5.6,7.9,9.0,9.0,7.9,9.0,7.9,14.6,18.0,43.5,44.8,100.0
24660054,6.0,4.0,7.0,9.0,10.0,7.0,7.0,5.0,6.0,7.0,21.0,11.0,37.4,36.8,100.0
24660055,4.2,6.7,10.0,10.0,8.3,6.7,5.8,6.7,8.3,9.2,16.7,10.0,37.8,36.4,100.0
24660056,2.6,6.0,7.7,9.4,7.7,7.7,7.7,7.7,6.8,6.0,16.2,12.8,39.4,38.8,100.0
24660057,4.7,6.3,7.3,7.9,5.8,8.9,5.8,7.3,7.9,6.8,19.9,11.5,38.0,38.4,100.0
24660058,2.4,6.0,6.0,2.4,4.8,4.8,3.6,7.1,7.1,8.3,8.3,39.3,53.3,57.2,100.0
24660059,1.8,1.8,3.6,4.5,7.3,5.5,3.6,5.5,6.4,10.9,7.3,40.9,55.0,60.8,100.0
24660060,3.5,4.4,7.1,7.1,7.1,8.0,5.3,5.3,8.8,12.4,11.5,19.5,45.8,47.6,100.0
24660061,3.3,8.3,9.9,9.9,8.3,5.8,6.6,9.1,9.1,9.1,10.7,10.7,41.1,40.0,100.0
24660062,5.1,6.1,9.1,7.1,9.1,6.1,5.1,8.1,9.1,8.1,16.2,13.1,40.2,38.4,100.0
24660063,5.0,4.3,5.8,7.2,7.2,6.5,7.2,5.0,8.6,8.6,16.5,18.7,42.4,43.2,100.0
24660064,6.0,5.2,8.2,7.5,9.0,8.2,7.5,5.2,6.7,4.5,17.2,15.7,38.8,38.8,100.0
24660065,4.2,5.9,6.8,8.5,5.1,6.8,5.1,7.6,8.5,7.6,17.8,17.8,41.5,41.6,100.0
24660066,3.9,1.9,4.9,7.8,8.7,8.7,5.8,6.8,5.8,6.8,22.3,15.5,39.2,40.0,100.0
24660067,4.6,5.6,6.5,8.3,5.6,3.7,7.4,6.5,7.4,8.3,13.9,20.4,43.2,45.2,100.0
24660068,5.9,2.9,5.9,6.9,7.8,7.8,7.8,6.9,7.8,4.9,16.7,17.6,40.9,41.6,100.0
24660069,3.9,7.9,7.1,9.4,7.9,7.1,4.7,4.7,7.9,6.3,14.2,20.5,42.3,40.4,100.0
24660070,4.1,6.1,7.1,5.1,7.1,6.1,5.1,5.1,9.2,9.2,16.3,17.3,42.1,42.0,100.0
24660071,1.9,6.5,6.5,7.4,8.3,8.3,7.4,5.6,7.4,4.6,16.7,19.4,42.5,42.4,100.0
24660072,5.0,7.6,6.7,7.6,7.6,5.9,7.6,4.2,9.2,6.7,16.0,16.8,40.8,40.0,100.0
24660073,5.4,7.6,5.4,4.3,6.5,8.7,6.5,7.6,6.5,7.6,14.1,21.7,43.7,44.4,100.0
24660074,2.2,7.9,6.7,11.2,9.0,5.6,5.6,7.9,10.1,7.9,13.5,13.5,41.1,39.6,100.0
24660075,4.3,5.3,7.4,7.4,6.4,7.4,7.4,4.3,6.4,8.5,16.0,20.2,42.8,42.0,100.0
24660076,2.0,6.1,6.1,6.1,8.2,5.1,6.1,8.2,9.2,10.2,12.2,21.4,45.7,48.0,100.0
24660077,2.2,3.3,5.4,6.5,8.7,7.6,6.5,6.5,5.4,7.6,18.5,21.7,43.3,43.2,100.0
24660078,3.8,5.7,5.7,6.6,5.7,9.4,5.7,6.6,9.4,10.4,14.2,17.0,43.2,44.0,100.0
24660079,6.4,6.4,5.3,5.3,6.4,6.4,7.4,10.6,8.5,8.5,11.7,19.1,45.0,47.2,100.0
24660080,4.7,4.7,8.7,8.7,7.1,8.7,5.5,6.3,7.9,7.1,16.5,16.5,40.7,40.4,100.0
24660081,6.4,5.7,7.1,6.4,6.4,5.7,6.4,5.0,7.9,7.1,15.0,21.4,43.5,42.4,100.0
24660082,4.4,3.7,6.7,8.1,6.7,8.1,7.4,7.4,8.1,8.9,15.6,13.3,40.6,42.0,100.0
24660083,6.4,5.3,6.4,10.6,6.4,7.4,7.4,5.3,8.5,6.4,17.0,16.0,40.2,40.0,100.0
24660084,4.3,4.3,3.2,5.4,8.6,9.7,5.4,5.4,8.6,7.5,18.3,20.4,43.2,43.2,100.0
24660085,5.1,4.2,7.6,9.3,7.6,6.8,6.8,4.2,9.3,11.0,11.0,16.9,43.6,43.2,100.0
24660086,2.6,5.2,7.8,6.5,6.5,5.2,3.9,9.1,9.1,13.0,14.3,15.6,43.8,48.0,100.0
24660087,6.7,8.5,7.9,8.5,7.3,9.1,6.7,4.2,4.2,4.8,20.0,13.3,36.2,33.6,100.0
24660088,8.5,7.4,6.4,7.4,5.3,6.4,5.3,4.3,6.4,4.3,26.6,11.7,34.0,31.4,100.0
24660089,5.1,7.7,6.4,6.4,6.4,7.7,6.4,6.4,6.4,11.5,16.7,15.4,40.9,42.0,100.0
24660090,3.7,6.1,10.7,9.3,7.9,8.4,5.6,3.7,6.1,4.2,21.5,13.1,36.4,34.8,100.0
24660091,5.8,9.9,8.3,5.0,7.4,5.8,7.4,8.3,9.1,5.8,17.4,9.9,37.8,38.4,100.0
24660092,6.7,6.7,13.3,10.7,6.7,8.0,2.7,2.7,6.7,8.0,16.0,13.3,37.7,32.4,100.0
24660093,4.1,5.7,6.6,9.0,7.4,8.2,8.2,4.9,9.0,9.0,15.6,12.3,40.8,41.6,100.0
24660094,3.4,4.3,6.9,5.2,6.9,8.6,9.5,4.3,7.8,6.9,19.8,16.4,40.8,42.4,100.0
24660095,4.7,3.7,6.5,6.5,8.4,9.3,6.5,5.6,8.4,7.5,18.7,15.0,40.8,41.6,100.0
24660096,3.7,9.2,7.3,6.4,6.4,9.2,5.5,5.5,9.2,8.3,14.7,15.6,41.3,40.8,100.0
24660097,2.9,4.9,5.8,5.8,6.8,8.7,6.8,9.7,8.7,7.8,10.7,20.4,45.9,47.6,100.0
24660098,4.1,4.1,5.1,7.1,9.2,7.1,7.1,6.1,7.1,7.1,16.3,19.4,42.5,43.2,100.0
24660099,3.4,6.2,6.8,5.5,8.2,6.2,7.5,5.5,7.5,8.2,17.1,15.8,40.8,41.6,100.0
24660100,3.2,9.5,10.5,7.4,9.5,6.3,7.4,6.3,7.4,5.3,16.8,9.5,37.0,36.0,100.0
24660101,2.2,4.3,6.5,5.4,7.6,5.4,7.6,6.5,10.9,8.7,9.8,28.3,48.9,52.8,100.0
24660102,2.9,5.9,3.9,3.9,9.8,7.8,8.8,8.8,10.8,8.8,14.7,16.7,44.0,46.0,100.0
24660103,1.3,2.6,5.1,12.8,7.7,5.1,5.1,6.4,7.7,7.7,7.7,29.5,49.1,50.0,100.0
24660104,4.7,6.3,9.4,9.4,10.2,7.0,6.3,7.0,7.8,6.3,14.8,10.9,38.3,37.2,100.0
24660107,2.9,8.7,8.7,6.8,7.8,7.8,4.9,7.8,4.9,3.9,21.4,13.6,36.8,35.6,100.0
24660108,3.4,4.0,6.7,6.0,7.4,7.4,4.0,7.4,6.7,5.4,14.8,27.5,45.4,45.6,100.0
24660109,4.9,5.7,7.3,6.5,9.8,6.5,6.5,6.5,4.9,4.1,21.1,14.6,37.2,36.8,100.0
24660110,6.2,7.0,7.8,8.5,8.5,7.8,4.7,5.4,6.2,5.4,20.2,13.2,37.5,35.2,100.0
24660111,4.2,7.0,7.0,9.9,7.0,7.0,7.0,5.6,7.0,7.0,15.5,15.5,41.1,39.2,100.0
24660112,7.1,7.1,7.1,7.1,6.0,7.1,9.5,6.0,4.8,6.0,15.5,17.9,40.7,40.0,100.0
24660114,3.1,6.9,11.5,9.2,9.2,5.3,6.1,6.9,6.9,7.6,13.7,14.5,40.6,38.0,100.0
24660115,6.1,6.1,6.1,7.3,6.1,7.3,4.9,6.1,7.3,7.3,13.4,23.2,45.1,44.0,100.0
24660117,2.8,7.4,7.4,8.3,6.5,7.4,4.6,7.4,8.3,5.6,13.9,22.2,43.9,42.8,100.0
24660118,5.2,5.2,6.9,4.3,8.6,9.5,6.9,5.2,5.2,6.0,18.1,19.0,40.8,40.4,100.0
24660119,3.7,3.7,3.7,7.4,7.4,9.3,5.6,5.6,13.0,9.3,11.1,24.1,47.2,50.8,100.0
24660120,3.8,4.7,10.4,8.5,11.3,9.4,4.7,3.8,5.7,6.6,16.0,15.1,39.5,38.0,100.0
24660121,5.3,6.4,4.3,7.4,7.4,9.6,6.4,5.3,6.4,5.3,17.0,18.1,41.1,41.2,100.0
24660122,3.3,4.4,7.8,5.6,7.8,10.0,8.9,5.6,5.6,6.7,20.0,13.3,39.1,39.2,100.0
24660123,4.1,7.1,7.1,7.1,9.2,7.1,6.1,6.1,5.1,6.1,18.4,17.3,39.7,38.0,100.0
24660124,6.0,5.2,7.8,6.0,8.6,8.6,7.8,5.2,6.0,6.0,14.7,17.2,41.4,40.8,100.0
24660125,8.4,6.9,6.9,6.1,4.6,9.2,6.1,6.9,6.1,5.3,22.9,9.9,35.6,34.4,100.0
24660126,4.1,4.1,5.1,9.2,8.2,6.1,6.1,7.1,7.1,5.1,15.3,23.5,44.8,44.0,100.0
24660127,6.7,4.5,4.5,3.4,5.6,5.6,4.5,4.5,9.0,10.1,14.6,28.1,46.5,50.0,100.0
24660128,4.2,6.3,7.4,6.3,7.4,5.3,5.3,7.4,8.4,6.3,16.8,17.9,41.6,40.0,100.0
24660129,5.8,3.9,4.9,5.8,4.9,5.8,7.8,5.8,8.7,7.8,15.5,24.3,45.3,48.0,100.0
24660130,4.5,3.6,5.4,4.5,6.3,9.8,7.1,5.4,3.6,5.4,18.8,22.3,42.2,42.4,100.0
24660131,5.1,5.1,7.6,5.1,7.6,8.5,7.6,5.9,6.8,5.1,20.3,15.3,38.7,38.4,100.0
24660132,5.6,6.5,5.6,4.6,6.5,7.4,7.4,6.5,5.6,7.4,14.8,22.2,43.8,44.0,100.0
24660133,7.3,6.5,5.6,5.6,4.0,6.5,5.6,7.3,7.3,8.1,12.9,22.6,44.4,46.0,100.0
24660134,3.6,6.3,8.1,9.0,9.9,7.2,5.4,6.3,4.5,7.2,14.4,18.9,41.7,39.6,100.0
24660135,5.1,7.1,3.1,4.1,4.1,8.2,8.2,9.2,7.1,6.1,16.3,22.4,43.9,46.8,100.0
24660136,1.8,3.5,3.5,5.3,5.3,5.3,7.0,5.3,8.8,8.8,14.0,31.6,49.8,53.6,100.0
24660137,4.0,6.9,9.9,5.9,7.9,5.9,6.9,5.0,6.9,6.9,14.9,19.8,42.1,40.4,100.0
24660138,0.8,1.1,2.5,1.9,2.5,3.3,2.8,3.9,6.9,10.0,4.2,60.7,64.8,69.5,100.0
24660139,1.3,3.9,5.2,5.2,6.5,5.2,6.5,5.2,7.8,9.1,11.7,29.9,48.6,50.8,100.0
24660140,2.9,5.8,5.8,6.5,8.7,6.5,5.1,6.5,6.5,8.7,13.8,22.5,45.0,44.8,100.0
24660141,5.8,7.7,6.7,5.8,5.8,5.8,4.8,5.8,9.6,9.6,17.3,15.4,40.9,41.2,100.0
24660142,5.2,5.2,3.1,5.2,6.2,8.2,6.2,4.1,8.2,8.2,15.5,26.8,46.1,46.8,100.0
24660143,6.8,4.1,4.1,8.1,8.1,9.5,8.1,4.1,4.1,6.8,21.6,17.6,39.8,40.4,100.0
24660144,6.6,7.4,4.1,5.5,7.0,8.5,7.7,6.3,5.9,4.8,26.9,9.6,34.7,34.8,100.0
24660145,6.3,5.3,4.2,5.3,9.5,8.4,4.2,7.4,8.4,4.2,21.1,16.8,39.3,38.8,100.0
